shape,time,contract,value,Load Zone,month,year
ONPEAK,1638316800000,PUB,34.5,APS,Dec,2021
ONPEAK,1640995200000,PUB,49,APS,Jan,2022
ONPEAK,1643673600000,PUB,45.65,APS,Feb,2022
ONPEAK,1646092800000,PUB,36.95,APS,Mar,2022
OFFPEAK,1554076800000,PUD,27.25,APS,Apr,2019
OFFPEAK,1556668800000,PUD,23.2,APS,May,2019
OFFPEAK,1559347200000,PUD,23.6,APS,June,2019
OFFPEAK,1561939200000,PUD,26,APS,July,2019
OFFPEAK,1564617600000,PUD,24.15,APS,Aug,2019
OFFPEAK,1567296000000,PUD,24.45,APS,Sept,2019
OFFPEAK,1569888000000,PUD,25.25,APS,Oct,2019
OFFPEAK,1572566400000,PUD,25.8,APS,Nov,2019
OFFPEAK,1575158400000,PUD,29.75,APS,Dec,2019
OFFPEAK,1577836800000,PUD,44.4,APS,Jan,2020
OFFPEAK,1580515200000,PUD,41.1,APS,Feb,2020
OFFPEAK,1583020800000,PUD,30.2,APS,Mar,2020
OFFPEAK,1585699200000,PUD,25.75,APS,Apr,2020
OFFPEAK,1588291200000,PUD,23.5,APS,May,2020
OFFPEAK,1590969600000,PUD,22.4,APS,June,2020
OFFPEAK,1593561600000,PUD,25.55,APS,July,2020
OFFPEAK,1596240000000,PUD,23.8,APS,Aug,2020
OFFPEAK,1598918400000,PUD,23.35,APS,Sept,2020
OFFPEAK,1601510400000,PUD,23.8,APS,Oct,2020
OFFPEAK,1604188800000,PUD,24.1,APS,Nov,2020
OFFPEAK,1606780800000,PUD,27.7,APS,Dec,2020
OFFPEAK,1609459200000,PUD,42.45,APS,Jan,2021
OFFPEAK,1612137600000,PUD,39.2,APS,Feb,2021
OFFPEAK,1614556800000,PUD,29.2,APS,Mar,2021
OFFPEAK,1617235200000,PUD,24.35,APS,Apr,2021
OFFPEAK,1619827200000,PUD,21.75,APS,May,2021
OFFPEAK,1622505600000,PUD,21.65,APS,June,2021
OFFPEAK,1625097600000,PUD,24.6,APS,July,2021
OFFPEAK,1627776000000,PUD,22.9,APS,Aug,2021
OFFPEAK,1630454400000,PUD,21.9,APS,Sept,2021
OFFPEAK,1633046400000,PUD,22.7,APS,Oct,2021
OFFPEAK,1635724800000,PUD,22.9,APS,Nov,2021
OFFPEAK,1638316800000,PUD,26.3,APS,Dec,2021
OFFPEAK,1640995200000,PUD,41.2,APS,Jan,2022
OFFPEAK,1643673600000,PUD,38.2,APS,Feb,2022
OFFPEAK,1646092800000,PUD,29.15,APS,Mar,2022
ONPEAK,1554076800000,PXB,34.1,DPL,Apr,2019
ONPEAK,1556668800000,PXB,30.05,DPL,May,2019
ONPEAK,1559347200000,PXB,31,DPL,June,2019
ONPEAK,1561939200000,PXB,41.05,DPL,July,2019
ONPEAK,1564617600000,PXB,39.5,DPL,Aug,2019
ONPEAK,1567296000000,PXB,33.05,DPL,Sept,2019
ONPEAK,1569888000000,PXB,31.35,DPL,Oct,2019
ONPEAK,1572566400000,PXB,32.25,DPL,Nov,2019
ONPEAK,1575158400000,PXB,38.15,DPL,Dec,2019
ONPEAK,1577836800000,PXB,60.05,DPL,Jan,2020
ONPEAK,1580515200000,PXB,57,DPL,Feb,2020
ONPEAK,1583020800000,PXB,38.65,DPL,Mar,2020
ONPEAK,1585699200000,PXB,31.3,DPL,Apr,2020
ONPEAK,1588291200000,PXB,31.45,DPL,May,2020
ONPEAK,1590969600000,PXB,31.7,DPL,June,2020
ONPEAK,1593561600000,PXB,41.55,DPL,July,2020
ONPEAK,1596240000000,PXB,38.6,DPL,Aug,2020
ONPEAK,1598918400000,PXB,32.7,DPL,Sept,2020
ONPEAK,1601510400000,PXB,30.1,DPL,Oct,2020
ONPEAK,1604188800000,PXB,30.3,DPL,Nov,2020
ONPEAK,1606780800000,PXB,37.1,DPL,Dec,2020
ONPEAK,1609459200000,PXB,57.1,DPL,Jan,2021
ONPEAK,1612137600000,PXB,53.3,DPL,Feb,2021
ONPEAK,1614556800000,PXB,37.65,DPL,Mar,2021
ONPEAK,1617235200000,PXB,30.2,DPL,Apr,2021
ONPEAK,1619827200000,PXB,30.85,DPL,May,2021
ONPEAK,1622505600000,PXB,30.15,DPL,June,2021
ONPEAK,1625097600000,PXB,39.15,DPL,July,2021
ONPEAK,1627776000000,PXB,36.35,DPL,Aug,2021
ONPEAK,1630454400000,PXB,30.6,DPL,Sept,2021
ONPEAK,1633046400000,PXB,29.05,DPL,Oct,2021
ONPEAK,1635724800000,PXB,29.45,DPL,Nov,2021
ONPEAK,1638316800000,PXB,35.8,DPL,Dec,2021
ONPEAK,1640995200000,PXB,58,DPL,Jan,2022
ONPEAK,1643673600000,PXB,54.05,DPL,Feb,2022
ONPEAK,1646092800000,PXB,36.2,DPL,Mar,2022
OFFPEAK,1554076800000,PXD,25.45,DPL,Apr,2019
OFFPEAK,1556668800000,PXD,20.6,DPL,May,2019
OFFPEAK,1559347200000,PXD,21.5,DPL,June,2019
OFFPEAK,1561939200000,PXD,25.7,DPL,July,2019
OFFPEAK,1564617600000,PXD,23.9,DPL,Aug,2019
OFFPEAK,1567296000000,PXD,22.45,DPL,Sept,2019
OFFPEAK,1569888000000,PXD,23.85,DPL,Oct,2019
OFFPEAK,1572566400000,PXD,24.4,DPL,Nov,2019
OFFPEAK,1575158400000,PXD,30.9,DPL,Dec,2019
OFFPEAK,1577836800000,PXD,50.35,DPL,Jan,2020
OFFPEAK,1580515200000,PXD,47,DPL,Feb,2020
OFFPEAK,1583020800000,PXD,29.6,DPL,Mar,2020
OFFPEAK,1585699200000,PXD,23,DPL,Apr,2020
OFFPEAK,1588291200000,PXD,20.55,DPL,May,2020
OFFPEAK,1590969600000,PXD,20.1,DPL,June,2020
OFFPEAK,1593561600000,PXD,25.85,DPL,July,2020
OFFPEAK,1596240000000,PXD,24.2,DPL,Aug,2020
OFFPEAK,1598918400000,PXD,21,DPL,Sept,2020
OFFPEAK,1601510400000,PXD,21.05,DPL,Oct,2020
OFFPEAK,1604188800000,PXD,21.6,DPL,Nov,2020
OFFPEAK,1606780800000,PXD,27.95,DPL,Dec,2020
OFFPEAK,1609459200000,PXD,48.8,DPL,Jan,2021
OFFPEAK,1612137600000,PXD,45.25,DPL,Feb,2021
OFFPEAK,1614556800000,PXD,28.4,DPL,Mar,2021
OFFPEAK,1617235200000,PXD,21.7,DPL,Apr,2021
OFFPEAK,1619827200000,PXD,19.15,DPL,May,2021
OFFPEAK,1622505600000,PXD,19.55,DPL,June,2021
OFFPEAK,1625097600000,PXD,24.5,DPL,July,2021
OFFPEAK,1627776000000,PXD,22.95,DPL,Aug,2021
OFFPEAK,1630454400000,PXD,19.65,DPL,Sept,2021
OFFPEAK,1633046400000,PXD,19.85,DPL,Oct,2021
OFFPEAK,1635724800000,PXD,20.3,DPL,Nov,2021
OFFPEAK,1638316800000,PXD,26.55,DPL,Dec,2021
OFFPEAK,1640995200000,PXD,46,DPL,Jan,2022
OFFPEAK,1643673600000,PXD,42.9,DPL,Feb,2022
OFFPEAK,1646092800000,PXD,28.55,DPL,Mar,2022
ONPEAK,1554076800000,PZB,34.85,PENELEC,Apr,2019
ONPEAK,1556668800000,PZB,32.05,PENELEC,May,2019
ONPEAK,1559347200000,PZB,32.6,PENELEC,June,2019
ONPEAK,1561939200000,PZB,39,PENELEC,July,2019
ONPEAK,1564617600000,PZB,37.05,PENELEC,Aug,2019
ONPEAK,1567296000000,PZB,35.6,PENELEC,Sept,2019
ONPEAK,1569888000000,PZB,34.05,PENELEC,Oct,2019
ONPEAK,1572566400000,PZB,34.4,PENELEC,Nov,2019
ONPEAK,1575158400000,PZB,37.7,PENELEC,Dec,2019
ONPEAK,1577836800000,PZB,52.65,PENELEC,Jan,2020
ONPEAK,1580515200000,PZB,49.7,PENELEC,Feb,2020
ONPEAK,1583020800000,PZB,37.95,PENELEC,Mar,2020
ONPEAK,1585699200000,PZB,34.25,PENELEC,Apr,2020
ONPEAK,1588291200000,PZB,34.1,PENELEC,May,2020
ONPEAK,1590969600000,PZB,33.85,PENELEC,June,2020
ONPEAK,1593561600000,PZB,39.8,PENELEC,July,2020
ONPEAK,1596240000000,PZB,36.5,PENELEC,Aug,2020
ONPEAK,1598918400000,PZB,35,PENELEC,Sept,2020
ONPEAK,1601510400000,PZB,32.8,PENELEC,Oct,2020
ONPEAK,1604188800000,PZB,32.75,PENELEC,Nov,2020
ONPEAK,1606780800000,PZB,35.6,PENELEC,Dec,2020
ONPEAK,1609459200000,PZB,50.65,PENELEC,Jan,2021
ONPEAK,1612137600000,PZB,47.2,PENELEC,Feb,2021
ONPEAK,1614556800000,PZB,37.2,PENELEC,Mar,2021
ONPEAK,1617235200000,PZB,32.8,PENELEC,Apr,2021
ONPEAK,1619827200000,PZB,33.4,PENELEC,May,2021
ONPEAK,1622505600000,PZB,32.7,PENELEC,June,2021
ONPEAK,1625097600000,PZB,39.05,PENELEC,July,2021
ONPEAK,1627776000000,PZB,35.45,PENELEC,Aug,2021
ONPEAK,1630454400000,PZB,32.8,PENELEC,Sept,2021
ONPEAK,1633046400000,PZB,31.35,PENELEC,Oct,2021
ONPEAK,1635724800000,PZB,31.7,PENELEC,Nov,2021
ONPEAK,1638316800000,PZB,34.6,PENELEC,Dec,2021
ONPEAK,1640995200000,PZB,49,PENELEC,Jan,2022
ONPEAK,1643673600000,PZB,45.85,PENELEC,Feb,2022
ONPEAK,1646092800000,PZB,36.75,PENELEC,Mar,2022
OFFPEAK,1554076800000,PZD,26.15,PENELEC,Apr,2019
OFFPEAK,1556668800000,PZD,22.55,PENELEC,May,2019
OFFPEAK,1559347200000,PZD,23.4,PENELEC,June,2019
OFFPEAK,1561939200000,PZD,26.1,PENELEC,July,2019
OFFPEAK,1564617600000,PZD,24.15,PENELEC,Aug,2019
OFFPEAK,1567296000000,PZD,24.7,PENELEC,Sept,2019
OFFPEAK,1569888000000,PZD,25.5,PENELEC,Oct,2019
OFFPEAK,1572566400000,PZD,26,PENELEC,Nov,2019
OFFPEAK,1575158400000,PZD,30.3,PENELEC,Dec,2019
OFFPEAK,1577836800000,PZD,44.4,PENELEC,Jan,2020
OFFPEAK,1580515200000,PZD,41.05,PENELEC,Feb,2020
OFFPEAK,1583020800000,PZD,29.75,PENELEC,Mar,2020
OFFPEAK,1585699200000,PZD,25.75,PENELEC,Apr,2020
OFFPEAK,1588291200000,PZD,23.35,PENELEC,May,2020
OFFPEAK,1590969600000,PZD,22.3,PENELEC,June,2020
OFFPEAK,1593561600000,PZD,25.55,PENELEC,July,2020
OFFPEAK,1596240000000,PZD,24.05,PENELEC,Aug,2020
OFFPEAK,1598918400000,PZD,23.35,PENELEC,Sept,2020
OFFPEAK,1601510400000,PZD,23.65,PENELEC,Oct,2020
OFFPEAK,1604188800000,PZD,24,PENELEC,Nov,2020
OFFPEAK,1606780800000,PZD,28,PENELEC,Dec,2020
OFFPEAK,1609459200000,PZD,42.3,PENELEC,Jan,2021
OFFPEAK,1612137600000,PZD,39.2,PENELEC,Feb,2021
OFFPEAK,1614556800000,PZD,28.7,PENELEC,Mar,2021
OFFPEAK,1617235200000,PZD,24.4,PENELEC,Apr,2021
OFFPEAK,1619827200000,PZD,21.75,PENELEC,May,2021
OFFPEAK,1622505600000,PZD,21.9,PENELEC,June,2021
OFFPEAK,1625097600000,PZD,24.4,PENELEC,July,2021
OFFPEAK,1627776000000,PZD,22.85,PENELEC,Aug,2021
OFFPEAK,1630454400000,PZD,21.85,PENELEC,Sept,2021
OFFPEAK,1633046400000,PZD,22.7,PENELEC,Oct,2021
OFFPEAK,1635724800000,PZD,23,PENELEC,Nov,2021
OFFPEAK,1638316800000,PZD,26.35,PENELEC,Dec,2021
OFFPEAK,1640995200000,PZD,40.1,PENELEC,Jan,2022
OFFPEAK,1643673600000,PZD,37.35,PENELEC,Feb,2022
OFFPEAK,1646092800000,PZD,28.8,PENELEC,Mar,2022
ONPEAK,1554076800000,RIY,39.45,RhodeIsland,Apr,2019
ONPEAK,1556668800000,RIY,29.35,RhodeIsland,May,2019
ONPEAK,1559347200000,RIY,33.25,RhodeIsland,June,2019
ONPEAK,1561939200000,RIY,41.35,RhodeIsland,July,2019
ONPEAK,1564617600000,RIY,40.8,RhodeIsland,Aug,2019
ONPEAK,1567296000000,RIY,35.75,RhodeIsland,Sept,2019
ONPEAK,1569888000000,RIY,35,RhodeIsland,Oct,2019
ONPEAK,1572566400000,RIY,45.75,RhodeIsland,Nov,2019
ONPEAK,1575158400000,RIY,64.8,RhodeIsland,Dec,2019
ONPEAK,1577836800000,RIY,81.5,RhodeIsland,Jan,2020
ONPEAK,1580515200000,RIY,78.15,RhodeIsland,Feb,2020
ONPEAK,1583020800000,RIY,52.5,RhodeIsland,Mar,2020
ONPEAK,1585699200000,RIY,37.4,RhodeIsland,Apr,2020
ONPEAK,1588291200000,RIY,30.85,RhodeIsland,May,2020
ONPEAK,1590969600000,RIY,33.6,RhodeIsland,June,2020
ONPEAK,1593561600000,RIY,42.05,RhodeIsland,July,2020
ONPEAK,1596240000000,RIY,41.25,RhodeIsland,Aug,2020
ONPEAK,1598918400000,RIY,34.15,RhodeIsland,Sept,2020
ONPEAK,1601510400000,RIY,33.45,RhodeIsland,Oct,2020
ONPEAK,1604188800000,RIY,45.05,RhodeIsland,Nov,2020
ONPEAK,1606780800000,RIY,66.05,RhodeIsland,Dec,2020
ONPEAK,1609459200000,RIY,83.85,RhodeIsland,Jan,2021
ONPEAK,1612137600000,RIY,81.3,RhodeIsland,Feb,2021
ONPEAK,1614556800000,RIY,54.05,RhodeIsland,Mar,2021
ONPEAK,1617235200000,RIY,38,RhodeIsland,Apr,2021
ONPEAK,1619827200000,RIY,34.35,RhodeIsland,May,2021
ONPEAK,1622505600000,RIY,34.8,RhodeIsland,June,2021
ONPEAK,1625097600000,RIY,44.05,RhodeIsland,July,2021
ONPEAK,1627776000000,RIY,43.3,RhodeIsland,Aug,2021
ONPEAK,1630454400000,RIY,34.65,RhodeIsland,Sept,2021
ONPEAK,1633046400000,RIY,34.45,RhodeIsland,Oct,2021
ONPEAK,1635724800000,RIY,43.9,RhodeIsland,Nov,2021
ONPEAK,1638316800000,RIY,66,RhodeIsland,Dec,2021
ONPEAK,1640995200000,RIY,82.8,RhodeIsland,Jan,2022
ONPEAK,1643673600000,RIY,80.25,RhodeIsland,Feb,2022
ONPEAK,1646092800000,RIY,52.85,RhodeIsland,Mar,2022
OFFPEAK,1554076800000,RIZ,30.4,RhodeIsland,Apr,2019
OFFPEAK,1556668800000,RIZ,21.8,RhodeIsland,May,2019
OFFPEAK,1559347200000,RIZ,24.2,RhodeIsland,June,2019
OFFPEAK,1561939200000,RIZ,28.45,RhodeIsland,July,2019
OFFPEAK,1564617600000,RIZ,26.7,RhodeIsland,Aug,2019
OFFPEAK,1567296000000,RIZ,24.65,RhodeIsland,Sept,2019
OFFPEAK,1569888000000,RIZ,26.6,RhodeIsland,Oct,2019
OFFPEAK,1572566400000,RIZ,37.4,RhodeIsland,Nov,2019
OFFPEAK,1575158400000,RIZ,56.05,RhodeIsland,Dec,2019
OFFPEAK,1577836800000,RIZ,69.15,RhodeIsland,Jan,2020
OFFPEAK,1580515200000,RIZ,67.7,RhodeIsland,Feb,2020
OFFPEAK,1583020800000,RIZ,44.1,RhodeIsland,Mar,2020
OFFPEAK,1585699200000,RIZ,29.05,RhodeIsland,Apr,2020
OFFPEAK,1588291200000,RIZ,24.7,RhodeIsland,May,2020
OFFPEAK,1590969600000,RIZ,24.3,RhodeIsland,June,2020
OFFPEAK,1593561600000,RIZ,27.55,RhodeIsland,July,2020
OFFPEAK,1596240000000,RIZ,27.1,RhodeIsland,Aug,2020
OFFPEAK,1598918400000,RIZ,23.35,RhodeIsland,Sept,2020
OFFPEAK,1601510400000,RIZ,24.05,RhodeIsland,Oct,2020
OFFPEAK,1604188800000,RIZ,34.45,RhodeIsland,Nov,2020
OFFPEAK,1606780800000,RIZ,54.95,RhodeIsland,Dec,2020
OFFPEAK,1609459200000,RIZ,69.1,RhodeIsland,Jan,2021
OFFPEAK,1612137600000,RIZ,66.75,RhodeIsland,Feb,2021
OFFPEAK,1614556800000,RIZ,42.85,RhodeIsland,Mar,2021
OFFPEAK,1617235200000,RIZ,26.85,RhodeIsland,Apr,2021
OFFPEAK,1619827200000,RIZ,24,RhodeIsland,May,2021
OFFPEAK,1622505600000,RIZ,24.1,RhodeIsland,June,2021
OFFPEAK,1625097600000,RIZ,26.95,RhodeIsland,July,2021
OFFPEAK,1627776000000,RIZ,26,RhodeIsland,Aug,2021
OFFPEAK,1630454400000,RIZ,23.2,RhodeIsland,Sept,2021
OFFPEAK,1633046400000,RIZ,23.65,RhodeIsland,Oct,2021
OFFPEAK,1635724800000,RIZ,30.1,RhodeIsland,Nov,2021
OFFPEAK,1638316800000,RIZ,51.4,RhodeIsland,Dec,2021
OFFPEAK,1640995200000,RIZ,66.6,RhodeIsland,Jan,2022
OFFPEAK,1643673600000,RIZ,64.35,RhodeIsland,Feb,2022
OFFPEAK,1646092800000,RIZ,44.35,RhodeIsland,Mar,2022
ONPEAK,1554076800000,SPM,31.5,SP15,Apr,2019
ONPEAK,1556668800000,SPM,25,SP15,May,2019
ONPEAK,1559347200000,SPM,37.25,SP15,June,2019
ONPEAK,1561939200000,SPM,65.75,SP15,July,2019
ONPEAK,1564617600000,SPM,75,SP15,Aug,2019
ONPEAK,1567296000000,SPM,52.25,SP15,Sept,2019
ONPEAK,1569888000000,SPM,42.25,SP15,Oct,2019
ONPEAK,1572566400000,SPM,39.75,SP15,Nov,2019
ONPEAK,1575158400000,SPM,47.5,SP15,Dec,2019
ONPEAK,1577836800000,SPM,47.8,SP15,Jan,2020
ONPEAK,1580515200000,SPM,43.95,SP15,Feb,2020
ONPEAK,1583020800000,SPM,36.55,SP15,Mar,2020
ONPEAK,1585699200000,SPM,24.75,SP15,Apr,2020
ONPEAK,1588291200000,SPM,24.8,SP15,May,2020
ONPEAK,1590969600000,SPM,35.85,SP15,June,2020
ONPEAK,1593561600000,SPM,58.2,SP15,July,2020
ONPEAK,1596240000000,SPM,59.25,SP15,Aug,2020
ONPEAK,1598918400000,SPM,47.3,SP15,Sept,2020
ONPEAK,1601510400000,SPM,39.55,SP15,Oct,2020
ONPEAK,1604188800000,SPM,39,SP15,Nov,2020
ONPEAK,1606780800000,SPM,41.75,SP15,Dec,2020
ONPEAK,1609459200000,SPM,45,SP15,Jan,2021
ONPEAK,1612137600000,SPM,43.25,SP15,Feb,2021
ONPEAK,1614556800000,SPM,38.25,SP15,Mar,2021
ONPEAK,1617235200000,SPM,27.2,SP15,Apr,2021
ONPEAK,1619827200000,SPM,27.3,SP15,May,2021
ONPEAK,1622505600000,SPM,30.85,SP15,June,2021
ONPEAK,1625097600000,SPM,60.8,SP15,July,2021
ONPEAK,1627776000000,SPM,63.9,SP15,Aug,2021
ONPEAK,1630454400000,SPM,60.55,SP15,Sept,2021
ONPEAK,1633046400000,SPM,40.3,SP15,Oct,2021
ONPEAK,1635724800000,SPM,39.75,SP15,Nov,2021
ONPEAK,1638316800000,SPM,42.55,SP15,Dec,2021
ONPEAK,1640995200000,SPM,44.5,SP15,Jan,2022
ONPEAK,1643673600000,SPM,42.6,SP15,Feb,2022
ONPEAK,1646092800000,SPM,37.3,SP15,Mar,2022
OFFPEAK,1554076800000,AOP,20.65,Zone A,Apr,2019
OFFPEAK,1556668800000,AOP,17.7,Zone A,May,2019
OFFPEAK,1559347200000,AOP,20.1,Zone A,June,2019
OFFPEAK,1561939200000,AOP,25.15,Zone A,July,2019
OFFPEAK,1564617600000,AOP,23.05,Zone A,Aug,2019
OFFPEAK,1567296000000,AOP,19.65,Zone A,Sept,2019
OFFPEAK,1569888000000,AOP,18.7,Zone A,Oct,2019
OFFPEAK,1572566400000,AOP,19.75,Zone A,Nov,2019
OFFPEAK,1575158400000,AOP,23.35,Zone A,Dec,2019
OFFPEAK,1577836800000,AOP,39.4,Zone A,Jan,2020
OFFPEAK,1580515200000,AOP,36.15,Zone A,Feb,2020
OFFPEAK,1583020800000,AOP,25.9,Zone A,Mar,2020
OFFPEAK,1585699200000,AOP,19,Zone A,Apr,2020
OFFPEAK,1588291200000,AOP,19.25,Zone A,May,2020
OFFPEAK,1590969600000,AOP,19.05,Zone A,June,2020
OFFPEAK,1593561600000,AOP,26.1,Zone A,July,2020
OFFPEAK,1596240000000,AOP,24.45,Zone A,Aug,2020
OFFPEAK,1598918400000,AOP,19.45,Zone A,Sept,2020
OFFPEAK,1601510400000,AOP,17.9,Zone A,Oct,2020
OFFPEAK,1604188800000,AOP,18.35,Zone A,Nov,2020
OFFPEAK,1606780800000,AOP,22.35,Zone A,Dec,2020
OFFPEAK,1609459200000,AOP,41.95,Zone A,Jan,2021
OFFPEAK,1612137600000,AOP,38.35,Zone A,Feb,2021
OFFPEAK,1614556800000,AOP,26.8,Zone A,Mar,2021
OFFPEAK,1617235200000,AOP,20,Zone A,Apr,2021
OFFPEAK,1619827200000,AOP,19.75,Zone A,May,2021
OFFPEAK,1622505600000,AOP,20.6,Zone A,June,2021
OFFPEAK,1625097600000,AOP,27.25,Zone A,July,2021
OFFPEAK,1627776000000,AOP,25.35,Zone A,Aug,2021
OFFPEAK,1630454400000,AOP,20.7,Zone A,Sept,2021
OFFPEAK,1633046400000,AOP,18.3,Zone A,Oct,2021
OFFPEAK,1635724800000,AOP,18.75,Zone A,Nov,2021
OFFPEAK,1638316800000,AOP,23.1,Zone A,Dec,2021
OFFPEAK,1640995200000,AOP,43,Zone A,Jan,2022
OFFPEAK,1643673600000,AOP,39.25,Zone A,Feb,2022
OFFPEAK,1646092800000,AOP,29.05,Zone A,Mar,2022
ONPEAK,1554076800000,ERH,31.56,Houston,Apr,2019
ONPEAK,1556668800000,ERH,32.39,Houston,May,2019
ONPEAK,1559347200000,ERH,43.28,Houston,June,2019
ONPEAK,1561939200000,ERH,85.62,Houston,July,2019
ONPEAK,1564617600000,ERH,150.88,Houston,Aug,2019
ONPEAK,1567296000000,ERH,39.11,Houston,Sept,2019
ONPEAK,1569888000000,ERH,30.29,Houston,Oct,2019
ONPEAK,1572566400000,ERH,26.19,Houston,Nov,2019
ONPEAK,1575158400000,ERH,26.79,Houston,Dec,2019
ONPEAK,1577836800000,ERH,32.48,Houston,Jan,2020
ONPEAK,1580515200000,ERH,32.02,Houston,Feb,2020
ONPEAK,1583020800000,ERH,29.45,Houston,Mar,2020
ONPEAK,1585699200000,ERH,28.34,Houston,Apr,2020
ONPEAK,1588291200000,ERH,31.26,Houston,May,2020
ONPEAK,1590969600000,ERH,43.04,Houston,June,2020
ONPEAK,1593561600000,ERH,83.83,Houston,July,2020
ONPEAK,1596240000000,ERH,132.87,Houston,Aug,2020
ONPEAK,1598918400000,ERH,35.75,Houston,Sept,2020
ONPEAK,1601510400000,ERH,26.97,Houston,Oct,2020
ONPEAK,1604188800000,ERH,26.3,Houston,Nov,2020
ONPEAK,1606780800000,ERH,26.73,Houston,Dec,2020
ONPEAK,1609459200000,ERH,31.41,Houston,Jan,2021
ONPEAK,1612137600000,ERH,31.21,Houston,Feb,2021
ONPEAK,1614556800000,ERH,29.24,Houston,Mar,2021
ONPEAK,1617235200000,ERH,28.43,Houston,Apr,2021
ONPEAK,1619827200000,ERH,31.34,Houston,May,2021
ONPEAK,1622505600000,ERH,42.52,Houston,June,2021
ONPEAK,1625097600000,ERH,70.34,Houston,July,2021
ONPEAK,1627776000000,ERH,109.22,Houston,Aug,2021
ONPEAK,1630454400000,ERH,36.47,Houston,Sept,2021
ONPEAK,1633046400000,ERH,25.82,Houston,Oct,2021
ONPEAK,1635724800000,ERH,23.46,Houston,Nov,2021
ONPEAK,1638316800000,ERH,23.25,Houston,Dec,2021
ONPEAK,1640995200000,ERH,31.9,Houston,Jan,2022
ONPEAK,1643673600000,ERH,31.49,Houston,Feb,2022
ONPEAK,1646092800000,ERH,27.3,Houston,Mar,2022
ONPEAK,1554076800000,ERN,29.81,North,Apr,2019
ONPEAK,1556668800000,ERN,29.78,North,May,2019
ONPEAK,1559347200000,ERN,41.2,North,June,2019
ONPEAK,1561939200000,ERN,84.67,North,July,2019
ONPEAK,1564617600000,ERN,148.33,North,Aug,2019
ONPEAK,1567296000000,ERN,35.86,North,Sept,2019
ONPEAK,1569888000000,ERN,28.87,North,Oct,2019
ONPEAK,1572566400000,ERN,24.77,North,Nov,2019
ONPEAK,1575158400000,ERN,25.32,North,Dec,2019
ONPEAK,1577836800000,ERN,30.98,North,Jan,2020
ONPEAK,1580515200000,ERN,30.47,North,Feb,2020
ONPEAK,1583020800000,ERN,28.3,North,Mar,2020
ONPEAK,1585699200000,ERN,26.36,North,Apr,2020
ONPEAK,1588291200000,ERN,29.23,North,May,2020
ONPEAK,1590969600000,ERN,40.79,North,June,2020
ONPEAK,1593561600000,ERN,81.24,North,July,2020
ONPEAK,1596240000000,ERN,129.87,North,Aug,2020
ONPEAK,1598918400000,ERN,33.64,North,Sept,2020
ONPEAK,1601510400000,ERN,24.57,North,Oct,2020
ONPEAK,1604188800000,ERN,23.93,North,Nov,2020
ONPEAK,1606780800000,ERN,24.35,North,Dec,2020
ONPEAK,1609459200000,ERN,29.6,North,Jan,2021
ONPEAK,1612137600000,ERN,29.45,North,Feb,2021
ONPEAK,1614556800000,ERN,26.43,North,Mar,2021
ONPEAK,1617235200000,ERN,24.56,North,Apr,2021
ONPEAK,1619827200000,ERN,27.05,North,May,2021
ONPEAK,1622505600000,ERN,38.72,North,June,2021
ONPEAK,1625097600000,ERN,69.89,North,July,2021
ONPEAK,1627776000000,ERN,107.05,North,Aug,2021
ONPEAK,1630454400000,ERN,32.25,North,Sept,2021
ONPEAK,1633046400000,ERN,22.9,North,Oct,2021
ONPEAK,1635724800000,ERN,22.3,North,Nov,2021
ONPEAK,1638316800000,ERN,23.01,North,Dec,2021
ONPEAK,1640995200000,ERN,29,North,Jan,2022
ONPEAK,1643673600000,ERN,28.59,North,Feb,2022
ONPEAK,1646092800000,ERN,24.4,North,Mar,2022
ONPEAK,1554076800000,ERS,31.21,South,Apr,2019
ONPEAK,1556668800000,ERS,32.37,South,May,2019
ONPEAK,1559347200000,ERS,41.95,South,June,2019
ONPEAK,1561939200000,ERS,82.6,South,July,2019
ONPEAK,1564617600000,ERS,151.9,South,Aug,2019
ONPEAK,1567296000000,ERS,37.88,South,Sept,2019
ONPEAK,1569888000000,ERS,30.12,South,Oct,2019
ONPEAK,1572566400000,ERS,26.89,South,Nov,2019
ONPEAK,1575158400000,ERS,27.55,South,Dec,2019
ONPEAK,1577836800000,ERS,30.79,South,Jan,2020
ONPEAK,1580515200000,ERS,30.22,South,Feb,2020
ONPEAK,1583020800000,ERS,28.49,South,Mar,2020
ONPEAK,1585699200000,ERS,28.48,South,Apr,2020
ONPEAK,1588291200000,ERS,30.57,South,May,2020
ONPEAK,1590969600000,ERS,42.21,South,June,2020
ONPEAK,1593561600000,ERS,85.45,South,July,2020
ONPEAK,1596240000000,ERS,123.6,South,Aug,2020
ONPEAK,1598918400000,ERS,34.82,South,Sept,2020
ONPEAK,1601510400000,ERS,25.55,South,Oct,2020
ONPEAK,1604188800000,ERS,24.91,South,Nov,2020
ONPEAK,1606780800000,ERS,25.35,South,Dec,2020
ONPEAK,1609459200000,ERS,30.92,South,Jan,2021
ONPEAK,1612137600000,ERS,30.76,South,Feb,2021
ONPEAK,1614556800000,ERS,28.92,South,Mar,2021
ONPEAK,1617235200000,ERS,27.43,South,Apr,2021
ONPEAK,1619827200000,ERS,30.31,South,May,2021
ONPEAK,1622505600000,ERS,42.18,South,June,2021
ONPEAK,1625097600000,ERS,66.82,South,July,2021
ONPEAK,1627776000000,ERS,104.31,South,Aug,2021
